,video_id,video_title,channel_name
196,mLzTo-y8Ef0,What I learned about freedom after escaping North Korea | Yeonmi Park,TED
197,syjEN3peCJw,The voices in my head | Eleanor Longden,TED
198,imhUmLtlZpw,Understanding the rise of China | Martin Jacques,TED
199,wKlMcLTqRLs,Autism — what we know (and what we don't know yet) | Wendy Chung,TED
200,oYp5XuGYqqY,Do we see reality as it is? | Donald Hoffman,TED
201,5UGC2nLnaes,The freakonomics of McDonalds vs. drugs | Steven Levitt,TED
202,go_QOzc79Uc,Teach every child about food | Jamie Oliver,TED
203,nZ-VjUKAsao,Unveiling game-changing wearable tech | Pattie Maes,TED
204,FJJe8PXEUhk,Maybe the best robot demo ever | Marco Tempest,TED
205,mjUsobGWhs8,How to grow a forest in your backyard | Shubhendu Sharma,TED
206,16p9YRF0l-g,How to build your creative confidence | David Kelley,TED
207,4ErEBkj_3PY,Robots that fly ... and cooperate | Vijay Kumar,TED
208,WFCvkkDSfIU,Drew Berry: Animations of unseeable biology,TED
209,H0_yKBitO8M,"Build a tower, build a team | Tom Wujec",TED
210,RUwS1uAdUcI,Hans Rosling: Debunking third-world myths with the best stats you've ever seen,TED
211,zO-aCQ6xH-8,World champion whistler | Geert Chatrou,TED
212,M4so_Z9a_u0,"An Art Made of Trust, Vulnerability and Connection | Marina Abramović | TED Talks",TED
213,NgDGlcxYrhQ,Paper towns and why learning is awesome | John Green,TED
214,QuR969uMICM,A beginner's guide to quantum computing | Shohini Ghose,TED
215,pgmiPXAwiLg,My failed mission to find God -- and what I found instead | Anjali Kumar,TED
216,BPsSKKL8N0s,The surprising science of alpha males | Frans de Waal,TED
217,LTO_dZUvbJA,Why are we happy? Why aren't we happy? | Dan Gilbert,TED
218,-MTRxRO5SRA,Let's teach for mastery -- not test scores | Sal Khan,TED
219,WRS9Gek4V5Q,Give yourself permission to be creative | Ethan Hawke,TED
220,1cQbMP3I5Sk,The dawn of the age of holograms | Alex Kipman,TED
221,PB2OegI6wvI,How reliable is your memory? | Elizabeth Loftus,TED
222,OqUaEJLfrLo,A Black man goes undercover in the alt-right | Theo E.J. Wilson,TED
223,Un2yBgIAxYs,How trees talk to each other | Suzanne Simard,TED
224,HSercnrqeN4,A hilarious celebration of lifelong female friendship | Jane Fonda and Lily Tomlin,TED
225,iB4MS1hsWXU,The lies our culture tells us about what matters --- and a better way to live | David Brooks,TED
226,DTepA-WV_oE,Dan Dennett: Responding to Pastor Rick Warren,TED
227,hha0NsYXS5c,Why the buildings of the future will be shaped by ... you | Marc Kushner,TED
228,w4RLfVxTGH4,Why you think you're right -- even if you're wrong | Julia Galef,TED
229,IFjD3NMv6Kw,7 principles for building better cities | Peter Calthorpe,TED
230,NiKtZgImdlY,The danger of silence | Clint Smith,TED
231,mc0vhSseGk4,Impossible photography | Erik Johansson,TED
232,YVvn8dpSAt0,Underwater astonishments | David Gallo,TED
233,b-iGZPtWXzE,Are we born to run? | Christopher McDougall,TED
234,2NENlXsW4pM,"A virtual choir 2,000 voices strong | Eric Whitacre",TED
235,FMkJVXi7Rp8,Nerdcore comedy | Ze Frank,TED
236,MtSE4rglxbY,"A kinder, gentler philosophy of success | Alain de Botton",TED
237,rXepkIWPhFQ,Michael Pritchard: How to make filthy water drinkable,TED
238,xBIVlM435Zg,How to get your ideas to spread | Seth Godin,TED
239,9X68dm92HVI,Are we in control of our decisions? | Dan Ariely,TED
240,cXbXNV9-ZAg,My love letter to cosplay | Adam Savage,TED
241,dcwuBo4PvE0,Why Brexit happened -- and what to do next | Alexander Betts,TED
242,iIiAAhUeR6Y,"Choice, happiness and spaghetti sauce | Malcolm Gladwell",TED
243,1APOxsp1VFw,Why the universe seems so strange | Richard Dawkins,TED
244,0gks6ceq4eQ,You aren't at the mercy of your emotions -- your brain creates them | Lisa Feldman Barrett,TED
245,GcJxRqTs5nk,Moral behavior in animals | Frans de Waal,TED
